date,description,amount,currency-code,category-name,budget-name,opposing-name,account-name,note
2026-09-01,Monthly Allowance,1500.0,USD,Income,,Parents,Checking Account,Allowance for Sept
2026-09-01,Ride / Transit,-9.83,USD,Transportation,Transport,Lime Scooter,Checking Account,Going to class/event
2026-09-01,Lunch / Dinner,-11.07,USD,Dining Out,Monthly Food,Chipotle,Checking Account,Quick meal
2026-09-01,Morning Coffee,-4.54,USD,Coffee,Monthly Food,Campus Cafe,Checking Account,Needed caffeine
2026-09-01,Morning Coffee,-5.14,USD,Coffee,Monthly Food,Peets Coffee,Checking Account,Needed caffeine
2026-09-01,Snack,-3.85,USD,Groceries,Monthly Food,Campus Vending,Checking Account,Study snack
2026-09-01,September Rent,-750.0,USD,Rent,Essentials,Campus Housing,Checking Account,Split with roommate
2026-09-02,Gym Membership,-29.99,USD,Fitness,Essentials,Planet Fitness,Checking Account,Monthly fee
2026-09-02,Snack,-1.72,USD,Groceries,Monthly Food,Campus Vending,Checking Account,Study snack
2026-09-02,Fun / Going out,-24.2,USD,Entertainment,Fun Money,Concert Venue,Checking Account,Hanging out
2026-09-02,Ride / Transit,-9.28,USD,Transportation,Transport,Lime Scooter,Checking Account,Going to class/event
2026-09-02,Ride / Transit,-5.7,USD,Transportation,Transport,Campus Bus,Checking Account,Going to class/event
2026-09-02,Morning Coffee,-5.77,USD,Coffee,Monthly Food,Dunkin,Checking Account,Needed caffeine
2026-09-02,Morning Coffee,-4.6,USD,Coffee,Monthly Food,Peets Coffee,Checking Account,Needed caffeine
2026-09-02,Lunch / Dinner,-16.58,USD,Dining Out,Monthly Food,Food Truck,Checking Account,Quick meal
2026-09-03,Fall Semester Textbooks,-145.5,USD,Books,Essentials,University Bookstore,Checking Account,Bio and History books
2026-09-03,Morning Coffee,-5.21,USD,Coffee,Monthly Food,Dunkin,Checking Account,Needed caffeine
2026-09-03,Morning Coffee,-5.67,USD,Coffee,Monthly Food,Local Roasters,Checking Account,Needed caffeine
2026-09-03,Lunch / Dinner,-11.63,USD,Dining Out,Monthly Food,Local Diner,Checking Account,Quick meal
