date,description,amount,currency-code,category-name,budget-name,opposing-name,account-name,note
2026-09-01,September Rent,-800.0,USD,Rent,Essentials,Campus Housing,Checking Account,Monthly rent payment
2026-09-01,Paycheck,950.0,USD,Income,,University Job,Checking Account,Part-time job
2026-09-01,Morning coffee,-5.21,USD,Coffee,Fun Money,Starbucks,Checking Account,Extra coffee
2026-09-01,Morning coffee,-3.23,USD,Coffee,Fun Money,Starbucks,Checking Account,Extra coffee
2026-09-01,Drinks with friends,-15.95,USD,Entertainment,Fun Money,Campus Bar,Checking Account,Fun out
2026-09-01,Late night food,-23.78,USD,Dining Out,Monthly Food,McDonalds,Checking Account,Meal out
2026-09-01,Morning coffee,-6.72,USD,Coffee,Fun Money,Starbucks,Checking Account,
2026-09-02,Late night food,-23.46,USD,Dining Out,Monthly Food,McDonalds,Checking Account,Meal out
2026-09-02,Morning coffee,-6.02,USD,Coffee,Fun Money,Starbucks,Checking Account,
2026-09-02,Ride to event,-15.43,USD,Transportation,Transport,Lyft,Checking Account,Travel
2026-09-02,Textbooks,-145.5,USD,Books,Essentials,University Bookstore,Checking Account,Fall semester books
2026-09-02,Morning coffee,-5.95,USD,Coffee,Fun Money,Starbucks,Checking Account,Extra coffee
2026-09-03,Study coffee,-4.55,USD,Coffee,Fun Money,Campus Cafe,Checking Account,Extra coffee
2026-09-03,Electric Bill,-48.25,USD,Utilities,Essentials,City Power,Checking Account,Split with roommate
2026-09-03,Ride to event,-7.55,USD,Transportation,Transport,Lyft,Checking Account,Travel
2026-09-03,Morning coffee,-6.59,USD,Coffee,Fun Money,Starbucks,Checking Account,
2026-09-03,Late night food,-15.45,USD,Dining Out,Monthly Food,McDonalds,Checking Account,Meal out
2026-09-04,Study coffee,-5.34,USD,Coffee,Fun Money,Campus Cafe,Checking Account,Extra coffee
2026-09-04,Morning coffee,-6.69,USD,Coffee,Fun Money,Starbucks,Checking Account,
2026-09-04,Lunch break,-13.26,USD,Dining Out,Monthly Food,Local Diner,Checking Account,Meal out
2026-09-04,Study coffee,-3.54,USD,Coffee,Fun Money,Campus Cafe,Checking Account,Extra coffee
2026-09-04,Study coffee,-5.62,USD,Coffee,Fun Money,Campus Cafe,Checking Account,Extra coffee
2026-09-05,Morning coffee,-3.92,USD,Coffee,Fun Money,Starbucks,Checking Account,Extra coffee
2026-09-05,Morning coffee,-6.61,USD,Coffee,Fun Money,Starbucks,Checking Account,
2026-09-05,Late night food,-24.37,USD,Dining Out,Monthly Food,McDonalds,Checking Account,Meal out
2026-09-05,Movie ticket,-26.4,USD,Entertainment,Fun Money,AMC Theaters,Checking Account,Fun out
2026-09-06,Study coffee,-4.99,USD,Coffee,Fun Money,Campus Cafe,Checking Account,
2026-09-06,Pizza slice,-23.23,USD,Dining Out,Monthly Food,Pizza Hut,Checking Account,Meal out
2026-09-06,Groceries & toiletries,-67.4,USD,Groceries,Monthly Food,Target,Checking Account,Grocery run
2026-09-06,Movie ticket,-31.02,USD,Entertainment,Fun Money,AMC Theaters,Checking Account,Fun out
2026-09-07,Iced coffee,-3.75,USD,Coffee,Fun Money,Dunkin,Checking Account,Extra coffee
2026-09-07,Study coffee,-5.64,USD,Coffee,Fun Money,Campus Cafe,Checking Account,
